05-04-2023 18:02:51.556,-,API,"XBEE_LOCAL ,0013A2004208FCCA,XBee SX 868,A00B,COM9 - 38400/8/N/2/N,13,69"

05-04-2023 18:03:38.615,0,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:38.736,1,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:39.128,2,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:39.296,3,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:39.642,4,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:39.796,5,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:03:40.158,6,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:40.296,7,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:40.661,8,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:40.798,9,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:41.176,10,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:41.315,11,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:41.690,12,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:41.860,13,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:42.202,14,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:42.356,15,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:42.717,16,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:42.856,17,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:43.232,18,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:43.370,19,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:43.746,20,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:43.919,21,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:44.262,22,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:44.417,23,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:03:44.764,24,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:44.921,25,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:45.267,26,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:45.421,27,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:45.782,28,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:45.922,29,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:46.283,30,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:46.421,31,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:46.799,32,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:46.921,33,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:47.312,34,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:47.485,35,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:47.815,36,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:47.985,37,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:48.330,38,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:48.485,39,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:03:48.845,40,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:48.982,41,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:49.359,42,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:49.483,43,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:49.873,44,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:50.041,45,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:50.387,46,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:50.543,47,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:50.903,48,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:51.042,49,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:51.419,50,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:51.542,51,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:51.932,52,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:52.103,53,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:52.446,54,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:52.599,55,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:52.959,56,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:53.098,57,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:53.460,58,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:53.600,59,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:53.977,60,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:54.116,61,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:54.478,62,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:54.602,63,RECV,7E001097010013A2004208FCCDFFFE4442003BE1
05-04-2023 18:03:54.991,64,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:55.162,65,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:03:55.494,66,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:55.664,67,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:56.007,68,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:56.161,69,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:56.523,70,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:56.661,71,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:57.039,72,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:57.179,73,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:57.554,74,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:57.723,75,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:58.070,76,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:58.223,77,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:58.584,78,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:58.724,79,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:59.086,80,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:59.226,81,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:03:59.588,82,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:03:59.726,83,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:00.102,84,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:00.225,85,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:00.616,86,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:00.786,87,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:01.131,88,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:01.286,89,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:01.646,90,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:01.785,91,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:02.159,92,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:02.284,93,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:02.664,94,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:02.848,95,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:03.175,96,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:03.345,97,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:03.692,98,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:03.847,99,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:04.208,100,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:04.347,101,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:04.710,102,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:04.850,103,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:05.226,104,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:05.350,105,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:05.741,106,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:05.911,107,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:06.243,108,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:06.413,109,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:06.760,110,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:06.914,111,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:07.275,112,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:07.414,113,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:07.790,114,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:07.914,115,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:08.302,116,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:08.474,117,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:08.818,118,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:08.974,119,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:09.331,120,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:09.471,121,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:09.846,122,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:09.984,123,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 18:04:10.362,124,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:10.531,125,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:10.877,126,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:11.030,127,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:11.392,128,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:11.532,129,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 18:04:11.908,130,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:12.031,131,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:12.424,132,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:12.593,133,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:12.938,134,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:13.093,135,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:13.452,136,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:13.591,137,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:13.967,138,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:14.153,139,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:14.483,140,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:14.655,141,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:14.998,142,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:15.152,143,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:15.514,144,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:15.653,145,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:16.029,146,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:16.153,147,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:16.543,148,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:16.715,149,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:17.059,150,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:17.214,151,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:17.572,152,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:17.713,153,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:18.074,154,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:18.211,155,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:18.588,156,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:18.712,157,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:19.102,158,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:19.273,159,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:19.618,160,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:19.772,161,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:20.131,162,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:20.270,163,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:20.646,164,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:20.770,165,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:21.161,166,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:21.332,167,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:21.677,168,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:21.833,169,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:22.192,170,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:22.334,171,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:22.695,172,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:22.834,173,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:23.208,174,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:23.394,175,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:23.722,176,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:23.892,177,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:24.223,178,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:24.394,179,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:24.738,180,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:24.894,181,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:25.241,182,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:25.399,183,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:25.756,184,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:25.895,185,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:26.271,186,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:26.411,187,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:26.773,188,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:26.897,189,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:27.289,190,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:27.459,191,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:27.803,192,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:27.958,193,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:28.318,194,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:28.457,195,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:28.832,196,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:28.956,197,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:29.333,198,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:29.464,199,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:29.834,200,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:30.021,201,RECV,7E001097010013A2004208FCCDFFFE4442003BE1
05-04-2023 18:04:30.349,202,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:30.521,203,RECV,7E001097010013A2004208FCCDFFFE4442003BE1
05-04-2023 18:04:30.863,204,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:31.018,205,RECV,7E001097010013A2004208FCCDFFFE4442003BE1
05-04-2023 18:04:31.365,206,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:31.521,207,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:31.882,208,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:32.021,209,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:32.396,210,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:32.517,211,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:32.909,212,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:33.079,213,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:33.410,214,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:33.583,215,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:33.913,216,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:34.084,217,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:34.414,218,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:34.585,219,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:34.916,220,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:35.089,221,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:35.419,222,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:35.592,223,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:35.923,224,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:36.094,225,RECV,7E001097010013A2004208FCCDFFFE4442003CE0
05-04-2023 18:04:36.424,226,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:36.593,227,RECV,7E001097010013A2004208FCCDFFFE4442003BE1
05-04-2023 18:04:36.939,228,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:37.093,229,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:37.451,230,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:37.592,231,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:37.967,232,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:38.107,233,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:38.482,234,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:38.653,235,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:38.998,236,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:39.151,237,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:39.514,238,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:39.655,239,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:40.029,240,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:40.169,241,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:40.544,242,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:40.715,243,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:41.060,244,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:41.216,245,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:41.561,246,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:41.717,247,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:42.074,248,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:42.215,249,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:42.590,250,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:42.715,251,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:43.092,252,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:43.215,253,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:43.607,254,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:43.778,255,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:44.121,256,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:44.277,257,RECV,7E001097010013A2004208FCCDFFFE4442003AE2
05-04-2023 18:04:44.622,258,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:44.778,259,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:45.137,260,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:45.276,261,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:45.650,262,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:45.789,263,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:46.166,264,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:46.337,265,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:46.667,266,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:46.839,267,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:47.183,268,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:47.337,269,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:47.695,270,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:47.835,271,RECV,7E001097010013A2004208FCCDFFFE44420037E5
05-04-2023 18:04:48.196,272,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:48.336,273,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:48.712,274,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:48.850,275,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:49.213,276,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:49.398,277,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:49.727,278,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:49.896,279,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:50.240,280,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:50.396,281,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:50.756,282,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:50.896,283,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:51.270,284,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:51.411,285,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:51.773,286,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:51.896,287,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:52.274,288,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:52.413,289,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:52.790,290,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:52.961,291,RECV,7E001097010013A2004208FCCDFFFE44420039E3
05-04-2023 18:04:53.291,292,SENT,7E000F17010013A2004208FCCDFFFE0244429A
05-04-2023 18:04:53.463,293,RECV,7E001097010013A2004208FCCDFFFE44420038E4
05-04-2023 18:04:53.795,294,SENT,7E000F17010013A2004208FCCDFFFE0244429A
